@RELATION emotion_activation
@ATTRIBUTE rough_mean1 NUMERIC
@ATTRIBUTE rough_mean2 NUMERIC
@ATTRIBUTE rough_mean3 NUMERIC
@ATTRIBUTE rough_std NUMERIC
@ATTRIBUTE fluct_max NUMERIC
@ATTRIBUTE fluct_mean NUMERIC
@ATTRIBUTE key_mean NUMERIC
@ATTRIBUTE modality NUMERIC
@ATTRIBUTE sp_nov_mean NUMERIC
@ATTRIBUTE hcdf_mean NUMERIC
@ATTRIBUTE activation {-1, 1}

@DATA
-0.66594,-0.56098,-0.86325,-0.24128,1.053,-0.35657,-0.48789,-0.23728,-0.14982,1.8958,1
-0.59105,-0.48043,-0.81474,0.24575,2.0249,0.55131,0.84401,-0.079657,-0.96493,0.95113,-1
0.48351,0.6369,0.0048253,1.0424,0.73021,0.90815,2.6839,1.6614,-1.1827,-1.8245,1
0.38023,0.48184,0.059854,0.44213,-0.49177,-0.57526,1.3043,-1.0335,-0.28965,-0.74854,-1
0.047106,-0.07118,0.35843,-0.30889,-0.57286,-0.33106,0.9204,-0.11787,-0.41805,-0.2006,-1
-0.070028,-0.17633,0.2259,-0.63657,0.34985,-0.84133,0.80625,-0.070833,-0.87764,0.63468,-1
-1.0539,-1.1143,-0.75809,-1.275,-0.70923,-0.47366,-0.83043,-0.0033889,-0.54098,0.82341,1
0.15659,0.17737,0.080039,0.043378,-0.2401,0.63075,-0.19628,0.41933,1.6899,1.0073,-1
1.2734,1.4694,0.58616,1.7041,0.067266,0.4659,0.40015,0.68637,-0.81634,-0.44806,-1
0.4928,0.53392,0.31962,0.55708,1.0288,0.58119,0.48966,-0.54075,-1.001,0.65351,1
-0.29108,-0.32328,-0.16836,-0.4972,-0.070137,0.13291,1.165,-0.64613,-0.30757,1.5439,-1
-0.84575,-0.79091,-0.88425,-0.65652,-1.547,-1.3797,-1.078,0.7911,-0.83882,-2.4889,1
-0.88902,-0.9208,-0.69229,-0.94877,-0.057891,0.31512,0.5227,-0.51407,0.72888,-0.71543,1
1.3528,1.4672,0.87945,1.1176,1.529,2.8079,-0.50288,1.1258,-0.57349,-0.035232,-1
2.0343,1.9056,2.1242,1.2391,-0.74724,-0.59183,1.2251,0.54143,-0.36261,0.57274,1
0.71219,0.56875,1.0063,0.25173,-0.98853,-0.45892,0.18335,0.66889,0.054775,0.022204,-1
-1.3009,-1.3719,-0.94552,-1.4269,2.9877,3.2921,-1.2042,-0.86281,-0.41451,0.35643,1
-0.87551,-0.95506,-0.55157,-1.1776,0.30977,1.0418,0.17206,-1.9614,0.42326,-0.17363,1
-0.085783,-0.10436,-0.025994,-0.37427,-0.262,0.49094,-1.479,-1.4868,-1.8872,-0.79917,1
1.5072,1.3355,1.7761,0.89593,-0.19338,-0.14257,-0.53953,-1.368,-0.044595,0.42855,-1
0.85392,0.73856,1.0537,0.30903,0.034114,0.4289,-0.4226,-0.071791,1.4308,0.75669,1
1.4145,1.1964,1.8203,0.38837,-0.26343,0.49076,0.52736,-0.68651,0.51148,1.0411,1
-1.2873,-1.281,-1.1416,-0.89943,-0.76032,-0.84087,0.46612,-2.0696,-0.65878,-1.4095,1
-0.46737,-0.30104,-0.85835,0.18377,2.176,1.0009,0.45734,0.79022,1.104,0.89116,-1
-0.2583,-0.16196,-0.48566,0.063265,0.74959,0.66339,0.17956,-0.83508,1.7755,0.66801,-1
-0.61446,-0.63666,-0.47595,-0.74561,-1.1791,-0.69257,-0.38298,1.2705,0.61096,1.082,1
-0.12073,-0.072698,-0.23305,-0.089344,-0.5612,-0.52553,-0.63232,1.521,-0.58171,1.5449,1
0.069485,0.062627,0.080214,-0.20237,-0.64083,-0.27732,-0.63135,0.01012,-0.4848,1.9963,1
-0.59631,-0.7102,-0.21518,-0.95208,-0.62751,-0.74489,0.62762,0.595,-1.5978,0.25594,1
-0.31207,-0.39227,-0.056477,-0.65082,-0.68307,-0.50305,-0.52596,0.051109,1.3343,0.6692,-1
-0.54369,-0.44161,-0.74778,-0.10933,-0.64525,-0.5366,0.88552,-0.090614,-0.062549,-0.77604,-1
-1.1038,-1.1694,-0.7877,-1.2802,1.0017,-0.52656,0.12402,-1.6671,0.42027,-0.8761,-1
0.1239,0.28031,-0.30908,0.36443,1.6085,-0.75502,-0.46618,-0.5425,-2.0631,0.19649,-1
0.23895,0.21668,0.26814,0.00072413,-0.36955,-0.23266,1.0857,-1.083,1.1132,0.74647,-1
0.27359,0.1645,0.53192,-0.24136,-0.43633,-0.24826,-0.80451,0.058755,-0.8537,0.95369,1
