@RELATION emotion_valence
@ATTRIBUTE rough_mean1 NUMERIC
@ATTRIBUTE rough_mean2 NUMERIC
@ATTRIBUTE rough_mean3 NUMERIC
@ATTRIBUTE rough_std NUMERIC
@ATTRIBUTE fluct_max NUMERIC
@ATTRIBUTE fluct_mean NUMERIC
@ATTRIBUTE key_mean NUMERIC
@ATTRIBUTE modality NUMERIC
@ATTRIBUTE sp_nov_mean NUMERIC
@ATTRIBUTE hcdf_mean NUMERIC
@ATTRIBUTE valence {-1, 1}

@DATA
11786171.5623,19467021.3763,4083830.4438,11046007.4077,1205.9101,335.4032,7.0118,-0.012069,0.078719,1.0698,1
9186802.4214,16101455.8213,2252425.2041,11017237.5872,1478.6148,311.4212,4.5789,-0.0081912,0.080651,1.0759,1
33976515.7031,55992916.4135,11942545.3262,29209679.7662,558.7532,244.9135,6.8396,-0.048999,0.068038,0.65208,-1
20345808.9245,31332473.8249,9325474.6711,15343317.6934,1225.0416,456.722,4.2762,-0.080732,0.086115,0.94363,1
20118560.715,32253251.1987,7957230.9552,17193544.8166,638.5138,263.165,7.0818,-0.07347,0.072433,0.96909,1
3802241.8302,7091666.6246,501363.4177,9090402.6856,716.1395,274.8201,3.2782,-0.10384,0.098766,0.63423,-1
8296538.4757,14055022.747,2519617.3751,9308343.4285,1034.2922,350.9686,6.79,-0.042933,0.074754,0.78368,1
17544767.837,26917532.3433,8153193.2134,13744957.4587,1126.6914,308.6322,8.8112,-0.043775,0.069643,0.80305,-1
20841536.2266,32347546.4788,9321251.2999,16467896.045,836.4814,299.8615,5.6165,-0.043436,0.089507,0.75237,-1
939159.4165,1795865.3076,78815.4728,1746594.4462,1192.2529,318.6416,6.5153,-0.030977,0.059069,0.60285,-1
10036015.0471,16890870.72,3163360.4825,10957262.1663,846.9762,300.1169,6.7493,0.04884,0.052641,0.96921,1
6327922.5091,12064465.7253,571279.9719,9775063.4706,3203.0969,355.5091,6.7218,-0.0040859,0.058969,1.0436,1
21880361.6146,39294253.4475,4398771.1995,30229968.8611,2681.5418,476.9831,6.9355,0.0052959,0.093246,1.0467,1
5734618.0782,10594554.8081,857050.1737,11257201.3889,926.2933,269.2969,7.4085,0.040554,0.035228,0.53203,-1
4798561.8344,9198621.8637,378775.2272,12978351.1761,1392.0994,272.5346,6.6165,-0.038257,0.046297,0.81006,1
17990013.9681,30362470.1712,5589552.5246,18264180.2467,812.8964,294.1731,7.0426,-0.0020498,0.093657,0.85596,1
19897865.9959,31800503.5022,7973368.7547,16712585.0221,1351.1452,307.2125,7.1504,-0.07168,0.057892,0.96559,1
11222017.2824,18177872.5449,4254702.1252,9663724.599,1156.1665,306.5989,7.2953,0.009894,0.05268,0.9872,-1
